temperature,code,Stress,Time,process,LMP,C
550,MEB,157,259.1,Hot Extruded,26676.28368,29.80560904
550,MEC,157,265.8,Hot Extruded,26685.40875,29.93935399
550,MED,157,258.4,Rotary pierced,26675.31674,29.70758495
550,MEE,157,268.4,Hot Extruded,26688.88801,30.1350496
550,MEF,157,139,Rotary pierced,26453.70118,29.83582781
550,MEG,157,176.2,Hot Extruded,26538.46286,29.99612786
550,MEH,157,263.4,Hot Extruded,26682.16678,29.92915951
550,MEJ,157,166.7,Hot Extruded,26518.653,29.7805215
550,MEL,157,182.5,Rotary pierced,26551.01934,30.29680177
550,MEM,157,124.6,Hot Extruded,26414.61135,30.02372248
550,MEN,157,84.4,Rotary pierced,26275.37983,31.19349348
550,MEB,137,762.1,Hot Extruded,27061.89584,29.97762271
550,MEC,137,761.7,Hot Extruded,27061.7082,29.83789383
550,MED,137,1059.6,Rotary pierced,27179.69182,30.10066778
550,MEE,137,759.8,Hot Extruded,27060.81552,29.73318898
550,MEF,137,455,Rotary pierced,26877.54338,29.93110891
550,MEG,137,564.7,Hot Extruded,26954.74604,29.82336445
550,MEH,137,663.4,Hot Extruded,27012.32121,30.15346575
550,MEJ,137,422.6,Hot Extruded,26851.13997,29.66978532
550,MEL,137,614,Rotary pierced,26984.66257,29.95348163
550,MEM,137,322.8,Hot Extruded,26754.85229,29.8311543
550,MEN,137,237.7,Rotary pierced,26645.47202,30.08921452
550,MEB,118,2183.3,Hot Extruded,27438.09034,31.33108697
550,MEC,118,3521,Hot Extruded,27608.90614,31.28609498
550,MED,118,2810.6,Rotary pierced,27528.36161,29.69969709
550,MEE,118,2698.9,Hot Extruded,27513.86673,29.9689748
550,MEF,118,1525.6,Rotary pierced,27309.97168,29.85072673
550,MEG,118,1705,Hot Extruded,27349.70917,30.18564715
550,MEH,118,2413.5,Hot Extruded,27473.91873,29.58324194
550,MEJ,118,1509.4,Hot Extruded,27306.15598,29.95037249
550,MEL,118,2104.6,Rotary pierced,27424.96855,29.82021552
550,MEM,118,1081,Hot Extruded,27186.83855,30.23235471
550,MEN,118,1149.2,Rotary pierced,27208.70559,29.71226435
550,MEB,108,4035.2,Hot Extruded,27657.62695,30.78748158
550,MEC,108,6903.8,Hot Extruded,27849.56959,31.04311092
550,MED,108,5755.8,Rotary pierced,27784.56699,30.78728658
550,MEE,108,6031.9,Hot Extruded,27801.31375,31.08154682
550,MEF,108,3649.1,Rotary pierced,27621.67888,31.28527953
