Stress ,Temp,LMP,TTF,process
157,823,34906.28368,259.1,Hot Extruded
137,823,35291.89584,762.1,Hot Extruded
118,823,35668.09034,2183.3,Hot Extruded
108,873,36550.8132,73.8,Hot Extruded
108,823,35887.62695,4035.2,Hot Extruded
88,873,37143.13175,352,Hot Extruded
69,923,38595.77826,65.4,Hot Extruded
69,873,37965.02439,3076.1,Hot Extruded
61,873,38439.71573,10758.4,Hot Extruded
53,923,39357.43946,437.3,Hot Extruded
41,923,40451.90356,6707.3,Hot Extruded
37,973,41194.34786,217.5,Hot Extruded
29,973,41707.45782,732.5,Hot Extruded
26,973,41929.21719,1238,Hot Extruded
