temperature,code,Stress,Time,process,LMP
550,MEB,157,259.1,Hot Extruded,26497.22541
550,MEC,157,265.8,Hot Extruded,26497.22541
550,MED,157,258.4,Rotary pierced,26497.22541
550,MEE,157,268.4,Hot Extruded,26497.22541
550,MEF,157,139,Rotary pierced,26497.22541
550,MEG,157,176.2,Hot Extruded,26497.22541
550,MEH,157,263.4,Hot Extruded,26497.22541
550,MEJ,157,166.7,Hot Extruded,26497.22541
550,MEL,157,182.5,Rotary pierced,26497.22541
550,MEM,157,124.6,Hot Extruded,26497.22541
550,MEN,157,84.4,Rotary pierced,26497.22541
550,MEB,137,762.1,Hot Extruded,26448.52103
550,MEC,137,761.7,Hot Extruded,26448.52103
550,MED,137,1059.6,Rotary pierced,26448.52103
550,MEE,137,759.8,Hot Extruded,26448.52103
550,MEF,137,455,Rotary pierced,26448.52103
550,MEG,137,564.7,Hot Extruded,26448.52103
550,MEH,137,663.4,Hot Extruded,26448.52103
550,MEJ,137,422.6,Hot Extruded,26448.52103
550,MEL,137,614,Rotary pierced,26448.52103
550,MEM,137,322.8,Hot Extruded,26448.52103
550,MEN,137,237.7,Rotary pierced,26448.52103
550,MEB,118,2183.3,Hot Extruded,26395.15889
550,MEC,118,3521,Hot Extruded,26395.15889
550,MED,118,2810.6,Rotary pierced,26395.15889
550,MEE,118,2698.9,Hot Extruded,26395.15889
550,MEF,118,1525.6,Rotary pierced,26395.15889
550,MEG,118,1705,Hot Extruded,26395.15889
550,MEH,118,2413.5,Hot Extruded,26395.15889
550,MEJ,118,1509.4,Hot Extruded,26395.15889
550,MEL,118,2104.6,Rotary pierced,26395.15889
550,MEM,118,1081,Hot Extruded,26395.15889
550,MEN,118,1149.2,Rotary pierced,26395.15889
550,MEB,108,4035.2,Hot Extruded,26363.50775
550,MEC,108,6903.8,Hot Extruded,26363.50775
550,MED,108,5755.8,Rotary pierced,26363.50775
550,MEE,108,6031.9,Hot Extruded,26363.50775
550,MEF,108,3649.1,Rotary pierced,26363.50775
550,MEG,108,3340.6,Hot Extruded,26363.50775
550,MEH,108,6877.3,Hot Extruded,26363.50775
550,MEJ,108,2932.3,Hot Extruded,26363.50775
550,MEL,108,4676.6,Rotary pierced,26363.50775
550,MEM,108,2428.8,Hot Extruded,26363.50775
550,MEN,108,2186.9,Rotary pierced,26363.50775
550,MEB,98,9726.8,Hot Extruded,26328.77906
550,MEC,98,16684.8,Hot Extruded,26328.77906
550,MED,98,15555.2,Rotary pierced,26328.77906
550,MEE,98,16784.6,Hot Extruded,26328.77906
550,MEF,98,8094.3,Rotary pierced,26328.77906
550,MEG,98,6797.9,Hot Extruded,26328.77906
550,MEH,98,17019.8,Hot Extruded,26328.77906
550,MEJ,98,7850.8,Hot Extruded,26328.77906
550,MEL,98,10727.7,Rotary pierced,26328.77906
550,MEM,98,5019.6,Hot Extruded,26328.77906
550,MEN,98,5921.7,Rotary pierced,26328.77906
550,MEB,88,28708.5,Hot Extruded,26290.30924
550,MEC,88,66542.4,Hot Extruded,26290.30924
550,MED,88,29432.8,Rotary pierced,26290.30924
550,MEE,88,48094.1,Hot Extruded,26290.30924
550,MEF,88,21631.5,Rotary pierced,26290.30924
550,MEG,88,26697,Hot Extruded,26290.30924
550,MEH,88,48115.7,Hot Extruded,26290.30924
550,MEJ,88,24435.8,Hot Extruded,26290.30924
550,MEL,88,36885.5,Rotary pierced,26290.30924
550,MEM,88,15286,Hot Extruded,26290.30924
550,MEN,88,13784.5,Rotary pierced,26290.30924
550,MEB,78,78247.3,Hot Extruded,26247.19386
550,MEC,78,116154.8,Hot Extruded,26247.19386
550,MED,78,80764.8,Rotary pierced,26247.19386
550,MEE,78,109378.8,Hot Extruded,26247.19386
550,MEF,78,55837,Rotary pierced,26247.19386
550,MEG,78,65146.4,Rotary pierced,26247.19386
550,MEH,78,130156.1,Hot Extruded,26247.19386
550,MEH,78,131834.3,Hot Extruded,26247.19386
550,MEJ,78,53267.7,Hot Extruded,26247.19386
550,MEL,78,91733.6,Rotary pierced,26247.19386
550,MEM,78,43661,Hot Extruded,26247.19386
550,MEN,78,27941.4,Rotary pierced,26247.19386
550,MEG,69,159284,Rotary pierced,26203.3728
550,MEM,69,159284,Hot Extruded,26203.3728
550,MEN,69,10774.6,Rotary pierced,26203.3728
600,MEB,108,73.8,Hot Extruded,27965.17894
600,MEC,108,103,Hot Extruded,27965.17894
600,MED,108,105.8,Rotary pierced,27965.17894
600,MEE,108,103.5,Hot Extruded,27965.17894
600,MEF,108,80.3,Rotary pierced,27965.17894
600,MEG,108,76.7,Hot Extruded,27965.17894
600,MEH,108,116.7,Hot Extruded,27965.17894
600,MEJ,108,88.1,Hot Extruded,27965.17894
600,MEL,108,103.6,Rotary pierced,27965.17894
600,MEM,108,58,Hot Extruded,27965.17894
600,MEN,108,54,Rotary pierced,27965.17894
600,MEB,88,352,Hot Extruded,27887.53337
600,MEC,88,626.5,Hot Extruded,27887.53337
600,MED,88,661.6,Rotary pierced,27887.53337
600,MEE,88,555.6,Hot Extruded,27887.53337
600,MEF,88,315.2,Rotary pierced,27887.53337
600,MEG,88,353,Hot Extruded,27887.53337
600,MEH,88,538.7,Hot Extruded,27887.53337
600,MEJ,88,382.8,Hot Extruded,27887.53337
600,MEL,88,466,Rotary pierced,27887.53337
600,MEM,88,235.9,Hot Extruded,27887.53337
600,MEN,88,250.4,Rotary pierced,27887.53337
600,MEB,69,3076.1,Hot Extruded,27795.31526
600,MEC,69,5885.1,Hot Extruded,27795.31526
600,MED,69,4295.8,Rotary pierced,27795.31526
600,MEE,69,5010.5,Hot Extruded,27795.31526
600,MEF,69,2586.7,Rotary pierced,27795.31526
600,MEG,69,3169.7,Hot Extruded,27795.31526
600,MEH,69,5295.5,Hot Extruded,27795.31526
600,MEJ,69,2753.7,Hot Extruded,27795.31526
600,MEL,69,3729.2,Rotary pierced,27795.31526
600,MEM,69,1735.7,Hot Extruded,27795.31526
600,MEN,69,1724.8,Rotary pierced,27795.31526
600,MEB,61,10758.4,Hot Extruded,27748.59295
600,MEC,61,13721.1,Hot Extruded,27748.59295
600,MED,61,10725.6,Rotary pierced,27748.59295
600,MEE,61,13278.5,Hot Extruded,27748.59295
600,MEF,61,7773.9,Rotary pierced,27748.59295
600,MEG,61,7783.5,Hot Extruded,27748.59295
600,MEH,61,14573.2,Hot Extruded,27748.59295
600,MEJ,61,6074,Hot Extruded,27748.59295
600,MEL,61,9790.3,Rotary pierced,27748.59295
600,MEM,61,5141,Hot Extruded,27748.59295
600,MEN,61,3884.3,Rotary pierced,27748.59295
600,MEB,53,41585.5,Hot Extruded,27695.29283
600,MEC,53,36594.3,Hot Extruded,27695.29283
600,MED,53,24521,Rotary pierced,27695.29283
600,MEE,53,50663.7,Hot Extruded,27695.29283
600,MEF,53,27320.8,Rotary pierced,27695.29283
600,MEG,53,24579,Hot Extruded,27695.29283
600,MEH,53,52717.5,Hot Extruded,27695.29283
600,MEJ,53,14769.9,Hot Extruded,27695.29283
600,MEL,53,16437.1,Rotary pierced,27695.29283
600,MEM,53,15024.9,Hot Extruded,27695.29283
600,MEN,53,9468.8,Rotary pierced,27695.29283
600,MEB,47,105620.8,Hot Extruded,27649.74143
600,MEC,47,70369.2,Hot Extruded,27649.74143
600,MED,47,49491.3,Rotary pierced,27649.74143
600,MEE,47,75535.7,Hot Extruded,27649.74143
600,MEF,47,35438.9,Rotary pierced,27649.74143
600,MEF,47,35712.8,Hot Extruded,27649.74143
600,MEF,47,35304,Hot Extruded,27649.74143
600,MEG,47,71752,Hot Extruded,27649.74143
600,MEH,47,75981.6,Rotary pierced,27649.74143
600,MEJ,47,38532.6,Hot Extruded,27649.74143
600,MEL,47,54356.7,Rotary pierced,27649.74143
600,MEM,47,37488.6,Hot Extruded,27649.74143
600,MEN,47,23319.2,Hot Extruded,27649.74143
600,MEJ,41,99083.2,Rotary pierced,27597.96031
600,MEM,41,162634,Hot Extruded,27597.96031
600,MEN,41,51324.5,Rotary pierced,27597.96031
650,MEB,69,65.4,Hot Extruded,29387.25771
650,MEC,69,88.7,Hot Extruded,29387.25771
650,MED,69,78.2,Rotary pierced,29387.25771
650,MEE,69,92.6,Hot Extruded,29387.25771
650,MEF,69,55.1,Rotary pierced,29387.25771
650,MEG,69,80,Hot Extruded,29387.25771
650,MEH,69,84.7,Hot Extruded,29387.25771
650,MEJ,69,65.6,Hot Extruded,29387.25771
650,MEL,69,68.5,Rotary pierced,29387.25771
650,MEM,69,57.2,Hot Extruded,29387.25771
650,MEN,69,57.1,Rotary pierced,29387.25771
650,MEB,53,437.3,Hot Extruded,29281.50663
650,MEC,53,565.3,Hot Extruded,29281.50663
650,MED,53,363.4,Rotary pierced,29281.50663
650,MEE,53,558.4,Hot Extruded,29281.50663
650,MEF,53,253,Rotary pierced,29281.50663
650,MEG,53,389.8,Hot Extruded,29281.50663
650,MEH,53,594.6,Hot Extruded,29281.50663
